#nelems=960 dxmin=122250 elmin=442339 elmax=1.03963e+06 elavg=755092
#time    dt      den_tot        e           d KE      
39.0864    0.00395299    2.287499627483024e+01    8.309476690894090e+07    6.656886586735023e+02
39.0903    0.00405181    2.287499610767992e+01    8.309476612487204e+07    6.657568439129165e+02
39.0944    0.00415311    2.287499592851507e+01    8.309476528446418e+07    6.658273785348490e+02
39.0985    0.00425694    2.287499573663983e+01    8.309476438445406e+07    6.659003168965127e+02
39.1028    0.00436336    2.287499553132085e+01    8.309476342140280e+07    6.659757167045267e+02
39.1071    0.00447244    2.287499531178541e+01    8.309476239168678e+07    6.660536390673640e+02
39.1116    0.00458426    2.287499507721931e+01    8.309476129148801e+07    6.661341485552547e+02
39.1162    0.00469886    2.287499482676477e+01    8.309476011678401e+07    6.662173132676336e+02
39.1209    0.00481633    2.287499455951811e+01    8.309475886333717e+07    6.663032049082281e+02
39.1257    0.00493674    2.287499427452740e+01    8.309475752668361e+07    6.663918988678918e+02
39.1307    0.00506016    2.287499397078996e+01    8.309475610212141e+07    6.664834743153084e+02
39.1357    0.00518666    2.287499364724969e+01    8.309475458469824e+07    6.665780142956994e+02
39.1409    0.00531633    2.287499330279435e+01    8.309475296919845e+07    6.666756058376932e+02
39.1462    0.00544924    2.287499293625260e+01    8.309475125012934e+07    6.667763400685228e+02
39.1517    0.00558547    2.287499254639098e+01    8.309474942170689e+07    6.668803123377518e+02
39.1573    0.00572511    2.287499213191069e+01    8.309474747784059e+07    6.669876223497299e+02
39.163    0.00586823    2.287499169144417e+01    8.309474541211767e+07    6.670983743050231e+02
39.1688    0.00601494    2.287499122355160e+01    8.309474321778645e+07    6.672126770510627e+02
39.1749    0.00616531    2.287499072671714e+01    8.309474088773870e+07    6.673306442422971e+02
39.181    0.00631945    2.287499019934498e+01    8.309473841449140e+07    6.674523945101455e+02
39.1873    0.00647743    2.287498963975527e+01    8.309473579016724e+07    6.675780516430747e+02
39.1938    0.00663937    2.287498904617974e+01    8.309473300647439e+07    6.677077447771529e+02
39.2005    0.00680535    2.287498841675714e+01    8.309473005468504e+07    6.678416085974511e+02
39.2073    0.00697549    2.287498774952847e+01    8.309472692561299e+07    6.679797835506974e+02
39.2142    0.00714987    2.287498704243193e+01    8.309472360958999e+07    6.681224160696072e+02
39.2214    0.00732862    2.287498629329761e+01    8.309472009644094e+07    6.682696588093488e+02
39.2287    0.00751184    2.287498549984198e+01    8.309471637545776e+07    6.684216708966318e+02
39.2362    0.00769963    2.287498465966196e+01    8.309471243537202e+07    6.685786181919281e+02
39.2439    0.00789212    2.287498377022886e+01    8.309470826432607e+07    6.687406735653780e+02
39.2518    0.00808943    2.287498282888184e+01    8.309470384984276e+07    6.689080171869615e+02
